year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,8,10,13,55,,,,5,5
2017,8,11,13,0,,,,5,5
2017,8,12,13,41,,,,5,5
2017,8,13,12,46,,,,5,5
2017,8,14,13,30,,,,5,5
2017,8,16,13,16,,,,5,5
2017,8,17,14,0,,,,5,5
2017,8,18,13,5,0.395,,13.93344,3,5
2017,8,19,13,46,,,,5,5
2017,8,20,12,51,,,,5,5
2017,8,21,13,35,,,,5,5
2017,8,22,12,40,,,,5,5
2017,8,23,13,21,0.319,0.319,20.76067,3,3
2017,8,23,13,25,,,,5,5
2017,8,25,13,11,0.19425,0.16225,9.6746,3,3
2017,8,26,13,55,0.172,0.168,7.42577,1,1
2017,8,27,13,0,,,,5,5
2017,8,28,13,41,0.248,0.282,11.82313,3,5
2017,8,29,12,46,,,,5,5
2017,8,30,13,30,0.292,0.2255,10.73641,1,3
2017,9,1,13,16,,,,5,5
2017,9,2,14,0,,,,5,5
2017,9,3,13,5,,,,5,5
2017,9,4,13,46,0.312,0.232,11.40516,1,3
2017,9,5,12,51,0.2756,0.26975,10.21823,3,3
2017,9,6,13,35,0.3708,0.342,13.19304,3,3
2017,9,7,12,40,0.566,0.701,20.44171,3,5
2017,9,8,13,21,0.574,0.486,19.1328,0,3
2017,9,8,13,25,0.443,0.443,21.24058,1,1
2017,9,10,13,11,0.536,0.536,18.04069,0,0
2017,9,11,13,55,0.366,,13.05997,1,5
2017,9,12,13,0,0.198,0.226,7.47344,0,3
2017,9,13,13,41,0.2726,0.246,10.68994,3,3
2017,9,14,12,46,0.255,0.258,9.51912,1,1
2017,9,15,13,30,0.4636,0.5455,22.00406,5,5
2017,9,17,13,16,0.3695,0.30214,13.08533,1,3
2017,9,18,14,0,,,,5,5
2017,9,19,13,5,0.1924,0.111,7.20535,3,3
2017,9,20,13,46,0.2195,0.186,12.04629,5,5
2017,9,21,12,51,,,,5,5
2017,9,22,13,35,,,,5,5
2017,9,23,12,40,0.229,,8.61858,1,5
