year,month,day,hour,min,AOD_QC2,AOD_QC3,conc,avgbinQC2,avgbinQC3
2017,9,16,11,1,0.268,0.268,9.9584,0,0
2017,9,18,10,50,0.393,0.393,26.01302,5,5
2017,9,20,10,36,,,,5,5
2017,9,21,11,20,,,,5,5
2017,9,22,10,25,,,,5,5
2017,9,23,11,6,0.269,0.226,10.0059,0,3
2017,9,24,10,11,0.205,,7.72928,0,5
2017,9,25,10,55,0.415,0.41275,20.0746,1,3
2017,9,27,10,41,0.386,0.318,13.69522,0,3
2017,9,27,10,45,0.244,0.244,9.13785,0,0
2017,9,28,11,26,0.938,0.944,57.58637,3,3
2017,9,29,10,31,0.729,,23.35715,1,5
2017,9,30,11,15,0.462,,23.45486,5,5
2017,10,1,10,20,,,,5,5
2017,10,2,11,1,0.28367,,15.66284,3,5
2017,10,4,10,50,0.392,0.28757,26.00697,1,3
2017,10,6,10,36,0.259,0.259,9.65715,0,0
2017,10,7,11,20,0.13267,0.137,8.12286,1,1
2017,10,8,10,25,0.257,0.187,14.59777,3,3
2017,10,9,11,6,0.196,0.196,10.48967,0,0
2017,10,10,10,11,0.33225,0.33225,19.19036,3,3
2017,10,11,10,55,0.212,,12.03418,3,5
2017,10,13,10,41,0.314,0.171,17.62934,0,1
2017,10,13,10,45,0.288,,10.64757,1,5
2017,10,14,11,26,0.192,0.192,12.29966,0,0
2017,10,15,10,31,0.63989,0.6674,25.49652,3,3
2017,10,16,11,15,0.4405,0.4405,29.57895,1,1
2017,10,17,10,20,0.3454,0.3725,14.85903,1,1
2017,10,18,11,1,0.1,0.1,3.79661,0,0
2017,10,20,10,50,0.245,0.245,9.20034,0,0
2017,10,22,10,36,0.32,0.32,11.66031,0,0
2017,10,23,11,20,0.48075,0.493,25.29181,1,1
2017,10,24,10,25,0.275,0.275,16.15274,0,0
2017,10,25,11,6,0.282,0.282,12.87006,0,0
2017,10,26,10,11,0.448,0.448,15.45546,0,0
2017,10,27,10,55,0.458,0.458,18.93637,0,0
2017,10,29,10,41,0.368,0.368,17.74511,0,0
2017,10,30,11,26,0.217,0.19817,13.30469,0,1
2017,10,31,10,31,,,,5,5
2017,11,1,11,15,0.313,0.313,19.34813,0,0
2017,11,2,10,20,0.205,0.205,10.96422,0,0
2017,11,3,11,1,0.133,0.133,5.02807,0,0
2017,11,5,10,50,0.225,0.225,8.4784,0,0
2017,11,7,10,36,0.229,0.229,8.63933,0,0
2017,11,8,11,20,0.108,0.108,4.10154,0,0
2017,11,9,10,25,0.157,0.157,5.92497,0,0
2017,11,10,11,6,0.215,0.215,8.10366,0,0
2017,11,11,10,11,0.102,0.102,3.85935,0,0
2017,11,12,10,55,0.272,0.272,10.08583,0,0
2017,11,14,10,41,0.26367,0.2775,11.45734,1,1
2017,11,15,11,26,0.167,0.167,10.05062,1,1
2017,11,16,10,31,0.287,0.13771,17.63664,1,3
2017,11,17,11,15,0.152,0.152,5.74483,0,0
2017,11,18,10,20,0.134,0.09386,8.57795,0,1
2017,11,19,11,1,0.205,0.205,7.72439,0,0
2017,11,21,10,50,0.315,0.315,11.50614,0,0
2017,11,23,10,36,0.142,0.142,9.12629,0,0
2017,11,24,11,20,0.235,0.235,8.83748,0,0
2017,11,25,10,25,0.337,0.295,12.18312,0,1
2017,11,26,11,6,0.171,0.171,6.44235,0,0
2017,11,27,10,11,0.3314,0.32775,18.59859,1,1
2017,11,28,10,55,0.404,0.404,14.1997,0,0
2017,11,30,10,41,0.529,0.55167,17.81891,0,1
2017,12,1,11,26,0.49133,0.7075,32.7082,1,3
2017,12,2,10,31,0.286,0.286,10.5444,0,0
2017,12,3,11,15,0.169,0.169,6.39356,0,0
2017,12,4,10,20,0.184,0.16533,6.9598,0,1
2017,12,5,11,1,0.196,0.0945,9.97559,1,3
2017,12,7,10,50,0.292,0.292,10.75483,0,0
2017,12,9,10,36,0.249,0.249,9.32573,0,0
2017,12,10,11,20,0.071,0.071,2.68481,0,0
2017,12,11,10,25,0.174,0.07488,6.5492,0,1
2017,12,12,11,6,0.103,0.103,3.89966,0,0
2017,12,13,10,11,0.07,0.1295,2.668,0,1
2017,12,14,10,55,0.26,0.26,9.68311,0,0
2017,12,16,10,41,0.5275,0.5275,30.64694,3,3
2017,12,17,11,25,0.13186,0.12867,6.03434,1,1
2017,12,18,10,30,0.315,0.315,11.50305,0,0
2017,12,19,11,15,0.199,0.26967,11.89479,3,3
2017,12,20,10,20,0.295,0.316,14.32885,5,5
2017,12,21,11,1,0.275,0.275,10.19351,0,0
2017,12,23,10,50,0.326,0.326,11.82344,0,0
2017,12,25,10,36,0.296,0.264,10.86841,0,1
2017,12,26,11,20,0.153,0.153,5.77424,0,0
2017,12,27,10,25,0.118,0.1262,5.03796,1,1
2017,12,28,11,6,0.0835,0.0795,3.16978,1,1
2017,12,29,10,11,0.09957,0.09957,5.42867,1,1
2017,12,30,10,55,0.246,0.13286,9.23578,0,1
2018,1,1,10,41,,,,5,5
2018,1,2,11,25,0.20033,0.2,9.72281,1,1
2018,1,3,10,30,0.157,0.134,5.90847,0,1
2018,1,4,11,15,0.11167,0.10233,4.21316,1,1
2018,1,5,10,20,0.133,0.16,5.02185,0,1
2018,1,6,11,1,0.263,0.263,9.78617,0,0
2018,1,8,10,50,0.216,0.216,8.13992,0,0
2018,1,9,11,31,0.23725,0.2514,11.8265,3,3
2018,1,10,10,36,0.313,0.22933,11.41083,0,1
2018,1,11,11,20,0.309,0.421,20.10427,1,3
2018,1,12,10,25,0.2605,0.26,12.5115,1,1
2018,1,13,11,6,0.263,0.2612,14.95555,1,1
2018,1,14,10,11,0.3256,0.3065,15.74852,1,1
2018,1,15,10,55,0.35,0.29225,12.57306,0,1
2018,1,17,10,41,0.333,0.25,12.05178,0,1
2018,1,18,11,25,0.22833,0.2198,13.46358,1,1
2018,1,19,10,30,0.268,0.238,9.97192,0,1
2018,1,20,11,15,0.33814,0.38333,21.32783,1,1
2018,1,21,10,20,0.45767,0.439,16.26462,1,1
2018,1,22,11,1,0.314,0.314,11.46654,0,0
2018,1,24,10,50,0.65167,0.6765,42.14075,3,3
2018,1,26,10,36,0.36,0.30033,12.88863,0,1
2018,1,27,11,20,0.451,0.451,30.32306,1,1
2018,1,28,10,25,0.286,0.27433,10.55746,0,1
2018,1,29,11,6,0.28475,0.409,15.24948,1,1
2018,1,30,10,11,0.557,0.554,20.62989,1,1
2018,1,31,10,55,0.51771,0.509,28.59285,3,3
2018,2,2,10,41,0.468,0.445,16.05544,0,1
2018,2,3,11,25,0.775,,99.35265,5,5
2018,2,4,10,30,0.196,0.173,7.38026,0,1
2018,2,5,11,15,0.088,0.131,3.33747,0,1
2018,2,6,10,20,,,,5,5
2018,2,7,11,1,,,,5,5
2018,2,9,10,50,0.0755,0.054,3.12684,1,1
2018,2,11,10,36,0.248,0.248,9.28872,0,0
2018,2,12,11,20,,,,5,5
2018,2,13,10,25,,,,5,5
2018,2,14,11,6,0.1925,0.186,9.61758,1,1
2018,2,15,10,11,0.10025,0.10025,5.70295,1,1
2018,2,16,10,55,0.39292,0.38211,24.87987,3,3
2018,2,18,10,41,0.435,0.435,15.11661,0,0
2018,2,19,11,25,0.7405,0.857,51.62431,1,5
2018,2,20,10,30,0.522,0.62763,20.98361,1,3
2018,2,21,11,15,0.87867,0.998,71.40137,1,1
2018,2,22,10,20,0.507,0.59717,17.17284,0,1
2018,2,23,11,1,0.689,0.633,22.271,0,1
2018,2,25,10,50,0.22,0.43007,8.28347,1,3
2018,2,27,10,36,0.699,0.68945,22.51532,0,3
2018,2,28,11,20,,,98.03962,5,5
2018,3,1,10,25,0.68267,0.698,23.87821,1,1
2018,3,2,11,6,0.49075,0.49175,26.19724,1,1
2018,3,3,10,11,0.056,0.056,2.13834,0,0
2018,3,4,10,55,0.252,0.18333,14.14889,1,3
2018,3,6,10,41,0.279,0.10043,10.33467,0,1
2018,3,7,11,26,0.112,0.112,7.18735,0,0
2018,3,8,10,31,0.418,0.418,14.61978,0,0
2018,3,9,11,15,0.5596,0.59225,35.50073,1,1
2018,3,10,10,20,0.232,0.232,8.72309,0,0
2018,3,11,11,1,0.688,0.688,22.22135,0,0
2018,3,13,10,50,0.773,0.617,24.38689,0,1
2018,3,14,11,31,0.952,0.979,74.37384,3,3
2018,3,15,10,36,0.779,,27.32523,3,5
2018,3,16,11,20,0.039,0.039,2.50005,0,0
2018,3,17,10,25,0.063,0.094,2.38812,0,1
2018,3,18,11,6,0.289,0.289,10.63783,0,0
2018,3,19,10,11,0.267,0.267,9.93285,0,0
2018,3,20,10,55,0.509,0.509,17.27247,0,0
2018,3,22,10,41,0.73171,0.73171,24.78029,1,1
2018,3,22,10,45,0.611,0.611,20.05597,0,0
2018,3,23,11,26,0.4214,0.417,28.17833,1,1
2018,3,24,10,31,0.403,0.403,14.20052,0,0
2018,3,25,11,15,0.965,0.965,61.34206,0,0
2018,3,26,10,20,0.926,0.926,27.88494,0,0
2018,3,27,11,1,0.405,0.405,14.24398,0,0
2018,3,29,10,50,0.566,0.566,18.91374,0,0
2018,3,31,10,36,0.2886,0.2815,15.15924,1,1
2018,4,1,11,20,0.862,0.878,64.27796,1,1
2018,4,2,10,25,0.454,0.454,15.63261,0,0
2018,4,3,11,6,0.8158,0.834,53.63928,1,1
2018,4,4,10,11,0.745,0.78167,23.65474,1,3
2018,4,5,10,55,0.601,0.601,28.2994,3,3
2018,4,7,10,45,,,,5,5
2018,4,8,11,26,,,,5,5
2018,4,9,10,31,0.721,0.721,23.11384,1,1
2018,4,10,11,15,0.41767,,27.85037,5,5
2018,4,11,10,20,0.373,0.373,13.27368,0,0
2018,4,12,11,1,0.785,,54.98604,3,5
2018,4,14,10,50,0.318,0.318,11.58085,0,0
2018,4,16,10,36,0.6,0.6,19.86831,0,0
2018,4,17,11,20,0.71967,0.748,81.24052,3,3
2018,4,18,10,25,0.615,0.615,20.2611,0,0
2018,4,19,11,6,0.674,0.67,33.56925,1,1
2018,4,19,11,10,0.7365,0.778,49.94807,1,3
2018,4,20,10,11,0.412,0.412,14.45648,0,0
2018,4,21,10,56,0.297,0.297,10.903,0,0
2018,4,23,10,45,0.386,0.30667,13.67774,0,1
2018,4,24,11,26,0.557,0.557,38.08195,0,0
2018,4,25,10,31,0.891,0.891,27.1551,0,0
2018,4,26,11,15,,,109.73631,5,5
2018,4,27,10,20,0.561,0.561,18.76497,0,0
2018,4,28,11,1,0.897,0.78,41.67368,0,1
2018,4,30,10,50,0.432,0.432,28.86624,3,3
2018,5,2,10,36,0.67133,0.67133,42.64006,3,3
2018,5,3,11,20,,,,5,5
2018,5,4,10,25,0.54367,0.575,26.52421,1,3
2018,5,5,11,10,0.41675,0.3835,27.80565,3,3
2018,5,6,10,11,,,,5,5
2018,5,6,10,15,,,,5,5
2018,5,7,10,56,0.334,0.334,12.09053,0,0
2018,5,9,10,45,0.388,0.388,13.73398,0,0
2018,5,10,11,26,0.22375,0.196,14.30606,1,1
2018,5,11,10,31,0.198,0.198,7.45961,0,0
2018,5,12,11,15,0.73875,0.737,50.79496,3,3
2018,5,13,10,20,0.9445,,38.21707,5,5
2018,5,14,11,1,,,,5,5
2018,5,16,10,50,0.6464,0.5565,36.15225,3,3
2018,5,18,10,36,0.696,,22.70941,5,5
2018,5,19,11,21,0.815,0.933,57.2576,3,5
2018,5,20,10,26,0.84267,0.982,32.75206,3,3
2018,5,21,11,10,0.821,,54.62875,1,5
2018,5,22,10,15,,,,5,5
2018,5,23,10,56,,,,5,5
2018,5,25,10,45,0.469,0.469,16.06975,0,0
2018,5,26,11,26,0.748,0.74367,52.24454,0,1
